code,name,type,latitude,longitude
DTCH,Doetinchem De Huet,stoptreinstation,51.9591413,6.2598521
RHN,Rhenen,knooppuntStoptreinstation,51.958610534668,5.5783333778381
DTCP,Delft Campus,stoptreinstation,51.990833282471,4.3647222518921
GD,Gouda,knooppuntIntercitystation,52.017501831055,4.7044444084167
APDO,Apeldoorn Osseveld,stoptreinstation,52.215278625488,6.0044445991516
DMN,Diemen,stoptreinstation,52.34515,4.967566
GK,Grijpskerk,stoptreinstation,53.255740325573,6.3097786903381
APDM,Apeldoorn De Maten,stoptreinstation,52.205276489258,6.0005555152893
GN,Groningen,knooppuntIntercitystation,53.210556030273,6.5647220611572
GO,Goor,stoptreinstation,52.230278015137,6.5844445228577
GP,Geldrop,knooppuntStoptreinstation,51.419723510742,5.5505557060242
GR,Gorinchem,knooppuntStoptreinstation,51.833889007568,4.9683332443237
GS,Goes,stoptreinstation,51.498054504395,3.8905556201935
GV,Den Haag HS,knooppuntIntercitystation,52.069721221924,4.3225002288818
GW,Grou-Jirnsum,stoptreinstation,53.088890075684,5.8225002288818
WSM,Winsum,stoptreinstation,53.3300994,6.5202905
WADT,Waddinxveen Triangel,stoptreinstation,52.02725,4.6491
GZ,Gilze-Rijen,stoptreinstation,51.583610534668,4.9261112213135
HB,Hoensbroek,stoptreinstation,50.905555725098,5.9305553436279
HD,Harderwijk,knooppuntStoptreinstation,52.337501525879,5.619722366333
WADN,Waddinxveen Noord,stoptreinstation,52.055000305176,4.6483335494995
HVL,Hoevelaken,stoptreinstation,52.16652,5.45718
HK,Heemskerk,stoptreinstation,52.495277404785,4.6869444847107
HVS,Hilversum,knooppuntIntercitystation,52.225833892822,5.1819443702698
HM,Helmond,knooppuntIntercitystation,51.475555419922,5.6619443893433
HN,Hoorn,knooppuntIntercitystation,52.644721984863,5.0555553436279
EGHM,Eygelshoven Markt,stoptreinstation,50.896049819644,6.0602474212646
AHP,Arnhem Velperpoort,stoptreinstation,51.985279083252,5.9194445610046
HR,Heerenveen,intercitystation,52.961387634277,5.9141664505005
HT,'s-Hertogenbosch,knooppuntIntercitystation,51.69048,5.29362
ODB,Oudenbosch,stoptreinstation,51.587776184082,4.5333333015442
ZZS,Zaandijk Zaanse Schans,knooppuntStoptreinstation,52.469165802002,4.8049998283386
AHZ,Arnhem Zuid,stoptreinstation,51.955001831055,5.8519444465637
HWD,Heerhugowaard,knooppuntStoptreinstation,52.669723510742,4.8227777481079
WTV,Westervoort,stoptreinstation,51.96286,5.9695
BKF,Bovenkarspel Flora,stoptreinstation,52.696109771729,5.2527775764465
VRY,Venray,knooppuntStoptreinstation,51.526568099007,6.0141777992248
BKG,Bovenkarspel-Grootebroek,stoptreinstation,52.694999694824,5.2377777099609
VNDC,Veenendaal Centrum,knooppuntStoptreinstation,52.020000457764,5.548611164093
BKL,Breukelen,knooppuntStoptreinstation,52.17149,4.9906
ODZ,Oldenzaal,stoptreinstation,52.30638885498,6.9347224235535
ZLSH,Zwolle Stadshagen,stoptreinstation,52.52764,6.05146
